token,count,frequencyPer100Comment,frequencyPer100Token
su,4,0.2436,0.0397
thank,4,0.2436,0.0397
eu,4,0.2436,0.0397
george,4,0.2436,0.0397
friend,4,0.2436,0.0397
r,4,0.2436,0.0397
take,4,0.2436,0.0397
knew,4,0.2436,0.0397
boys,4,0.2436,0.0397
many,4,0.2436,0.0397
those,4,0.2436,0.0397
damon,4,0.2436,0.0397
pai,4,0.2436,0.0397
being,4,0.2436,0.0397
it’s,4,0.2436,0.0397
amo,4,0.2436,0.0397
mom,4,0.2436,0.0397
lot,4,0.2436,0.0397
ti,4,0.2436,0.0397
v,4,0.2436,0.0397
reyes,4,0.2436,0.0397
okay,4,0.2436,0.0397
pas,4,0.2436,0.0397
blood,4,0.2436,0.0397
isnt,4,0.2436,0.0397
para,4,0.2436,0.0397
kind,4,0.2436,0.0397
parece,4,0.2436,0.0397
also,4,0.2436,0.0397
most,4,0.2436,0.0397
nothing,4,0.2436,0.0397
ko,4,0.2436,0.0397
ser,4,0.2436,0.0397
fans,4,0.2436,0.0397
whole,4,0.2436,0.0397
person,4,0.2436,0.0397
parents,4,0.2436,0.0397
back,4,0.2436,0.0397
ur,4,0.2436,0.0397
similar,4,0.2436,0.0397
più,4,0.2436,0.0397
favourite,4,0.2436,0.0397
having,4,0.2436,0.0397
go,4,0.2436,0.0397
sexy,4,0.2436,0.0397
talent,4,0.2436,0.0397
he’s,4,0.2436,0.0397
tal,4,0.2436,0.0397
watch,4,0.2436,0.0397
nada,4,0.2436,0.0397
related,4,0.2436,0.0397
adopted,4,0.2436,0.0397
looked,4,0.2436,0.0397
should,4,0.2436,0.0397
h,4,0.2436,0.0397
même,4,0.2436,0.0397
hahaha,4,0.2436,0.0397
page,4,0.2436,0.0397
sister,4,0.2436,0.0397
doesnt,4,0.2436,0.0397
hi,4,0.2436,0.0397
made,4,0.2436,0.0397
twist,4,0.2436,0.0397
lord,3,0.1827,0.0298
k,3,0.1827,0.0298
julie,3,0.1827,0.0298
type,3,0.1827,0.0298
posting,3,0.1827,0.0298
holy,3,0.1827,0.0298
india,3,0.1827,0.0298
padre,3,0.1827,0.0298
downy,3,0.1827,0.0298
muero,3,0.1827,0.0298
rd,3,0.1827,0.0298
re,3,0.1827,0.0298
à,3,0.1827,0.0298
nahi,3,0.1827,0.0298
este,3,0.1827,0.0298
explanation,3,0.1827,0.0298
rogers,3,0.1827,0.0298
m,3,0.1827,0.0298
dos,3,0.1827,0.0298
wrongdoers,3,0.1827,0.0298
saying,3,0.1827,0.0298
explain,3,0.1827,0.0298
joven,3,0.1827,0.0298
said,3,0.1827,0.0298
away,3,0.1827,0.0298
catch,3,0.1827,0.0298
played,3,0.1827,0.0298
tune,3,0.1827,0.0298
gave,3,0.1827,0.0298
night,3,0.1827,0.0298
dean,3,0.1827,0.0298
dead,3,0.1827,0.0298
relationship,3,0.1827,0.0298
down,3,0.1827,0.0298
jana,3,0.1827,0.0298
batman,3,0.1827,0.0298
check,3,0.1827,0.0298
vista,3,0.1827,0.0298
ne,3,0.1827,0.0298
picture,3,0.1827,0.0298
laura,3,0.1827,0.0298
hannah,3,0.1827,0.0298
trop,3,0.1827,0.0298
heart,3,0.1827,0.0298
crazy,3,0.1827,0.0298
mais,3,0.1827,0.0298
non,3,0.1827,0.0298
name,3,0.1827,0.0298
happen,3,0.1827,0.0298
first,3,0.1827,0.0298
white,3,0.1827,0.0298
eyes,3,0.1827,0.0298
gotta,3,0.1827,0.0298
não,3,0.1827,0.0298
woah,3,0.1827,0.0298
fucking,3,0.1827,0.0298
black,3,0.1827,0.0298
husband,3,0.1827,0.0298
between,3,0.1827,0.0298
mans,3,0.1827,0.0298
você,3,0.1827,0.0298
por,3,0.1827,0.0298
seems,3,0.1827,0.0298
world,3,0.1827,0.0298
rebecca,3,0.1827,0.0298
turkey,3,0.1827,0.0298
dekhi,3,0.1827,0.0298
muslims,3,0.1827,0.0298
youve,3,0.1827,0.0298
cats,3,0.1827,0.0298
comics,3,0.1827,0.0298
ohh,3,0.1827,0.0298
ah,3,0.1827,0.0298
guapísimo,3,0.1827,0.0298
mundo,3,0.1827,0.0298
again,3,0.1827,0.0298
5,3,0.1827,0.0298
fav,3,0.1827,0.0298
full,3,0.1827,0.0298
christian,3,0.1827,0.0298
ahead,3,0.1827,0.0298
mira,3,0.1827,0.0298
dios,3,0.1827,0.0298
glad,3,0.1827,0.0298
del,3,0.1827,0.0298
rodrigues,3,0.1827,0.0298
share,3,0.1827,0.0298
playing,3,0.1827,0.0298
hell,3,0.1827,0.0298
found,3,0.1827,0.0298
feel,3,0.1827,0.0298
miss,3,0.1827,0.0298
part,3,0.1827,0.0298
😄,3,0.1827,0.0298
😱,3,0.1827,0.0298
😭,3,0.1827,0.0298
bhi,3,0.1827,0.0298
jamie,3,0.1827,0.0298
hé,3,0.1827,0.0298
x,3,0.1827,0.0298
😮,3,0.1827,0.0298
missing,3,0.1827,0.0298
liked,3,0.1827,0.0298
while,3,0.1827,0.0298
barnes,3,0.1827,0.0298
used,3,0.1827,0.0298
i’m,3,0.1827,0.0298
per,3,0.1827,0.0298
che,3,0.1827,0.0298
faith,3,0.1827,0.0298
seeing,3,0.1827,0.0298
katie,3,0.1827,0.0298
cuter,3,0.1827,0.0298
definitely,3,0.1827,0.0298
facebook,3,0.1827,0.0298
carla,3,0.1827,0.0298
pour,3,0.1827,0.0298
lee,3,0.1827,0.0298
next,3,0.1827,0.0298
awesome,3,0.1827,0.0298
baby,3,0.1827,0.0298
account,3,0.1827,0.0298
high,3,0.1827,0.0298
nancy,3,0.1827,0.0298
perfect,3,0.1827,0.0298
cest,3,0.1827,0.0298
cause,3,0.1827,0.0298
exactly,3,0.1827,0.0298
mio,3,0.1827,0.0298
dijo,3,0.1827,0.0298
dije,3,0.1827,0.0298
perdido,3,0.1827,0.0298
otherwise,3,0.1827,0.0298
almost,3,0.1827,0.0298
meu,3,0.1827,0.0298
emma,3,0.1827,0.0298
lost,3,0.1827,0.0298
martin,3,0.1827,0.0298
est,3,0.1827,0.0298
own,3,0.1827,0.0298
pussy,3,0.1827,0.0298
daniela,3,0.1827,0.0298
problem,3,0.1827,0.0298
stan,3,0.1827,0.0298
día,2,0.1218,0.0198
similarity,2,0.1218,0.0198
andre,2,0.1218,0.0198
igual,2,0.1218,0.0198
under,2,0.1218,0.0198
shipuju,2,0.1218,0.0198
screaming,2,0.1218,0.0198
school,2,0.1218,0.0198
rafaella,2,0.1218,0.0198
men,2,0.1218,0.0198
pata,2,0.1218,0.0198
100,2,0.1218,0.0198
kids,2,0.1218,0.0198
mentor,2,0.1218,0.0198
highly,2,0.1218,0.0198
sarah,2,0.1218,0.0198
acá,2,0.1218,0.0198
maes,2,0.1218,0.0198
call,2,0.1218,0.0198
grandotas,2,0.1218,0.0198
ma,2,0.1218,0.0198
wore,2,0.1218,0.0198
work,2,0.1218,0.0198
give,2,0.1218,0.0198
😱😱,2,0.1218,0.0198
pogi,2,0.1218,0.0198
answer,2,0.1218,0.0198
place,2,0.1218,0.0198
noooooo,2,0.1218,0.0198
creo,2,0.1218,0.0198
fin,2,0.1218,0.0198
vinos,2,0.1218,0.0198
spiderson,2,0.1218,0.0198
daniel,2,0.1218,0.0198
tingling,2,0.1218,0.0198
ramos,2,0.1218,0.0198
can’t,2,0.1218,0.0198
studios,2,0.1218,0.0198
è,2,0.1218,0.0198
👌,2,0.1218,0.0198
bebe,2,0.1218,0.0198
williams,2,0.1218,0.0198
ahí,2,0.1218,0.0198
marie,2,0.1218,0.0198
lindos,2,0.1218,0.0198
came,2,0.1218,0.0198
nephew,2,0.1218,0.0198
louise,2,0.1218,0.0198
زؤر,2,0.1218,0.0198
stop,2,0.1218,0.0198
dc,2,0.1218,0.0198
incesto,2,0.1218,0.0198
report,2,0.1218,0.0198
nasty,2,0.1218,0.0198
hello,2,0.1218,0.0198
illegitimate,2,0.1218,0.0198
bae,2,0.1218,0.0198
phát,2,0.1218,0.0198
bien,2,0.1218,0.0198
hopefully,2,0.1218,0.0198
anche,2,0.1218,0.0198
ill,2,0.1218,0.0198
coz,2,0.1218,0.0198
una,2,0.1218,0.0198
ils,2,0.1218,0.0198
tough,2,0.1218,0.0198
character,2,0.1218,0.0198
karen,2,0.1218,0.0198
trust,2,0.1218,0.0198
speak,2,0.1218,0.0198
interest,2,0.1218,0.0198
extroverts,2,0.1218,0.0198
lovely,2,0.1218,0.0198
n,2,0.1218,0.0198
voice,2,0.1218,0.0198
veronica,2,0.1218,0.0198
quand,2,0.1218,0.0198
couple,2,0.1218,0.0198
quentin,2,0.1218,0.0198
characters,2,0.1218,0.0198
aka,2,0.1218,0.0198
🤤,2,0.1218,0.0198
mother,2,0.1218,0.0198
opinions,2,0.1218,0.0198
thanks,2,0.1218,0.0198
campbell,2,0.1218,0.0198
had,2,0.1218,0.0198
ele,2,0.1218,0.0198
hay,2,0.1218,0.0198
possible,2,0.1218,0.0198
theyre,2,0.1218,0.0198
animals,2,0.1218,0.0198
uma,2,0.1218,0.0198
post,2,0.1218,0.0198
tel,2,0.1218,0.0198
material,2,0.1218,0.0198
support,2,0.1218,0.0198
wax,2,0.1218,0.0198
iris,2,0.1218,0.0198
classic,2,0.1218,0.0198
exist,2,0.1218,0.0198
believable,2,0.1218,0.0198
dying,2,0.1218,0.0198
nd,2,0.1218,0.0198
reality,2,0.1218,0.0198
brothers,2,0.1218,0.0198
dies,2,0.1218,0.0198
sharma,2,0.1218,0.0198
younger,2,0.1218,0.0198
kayley,2,0.1218,0.0198
level,2,0.1218,0.0198
maguire,2,0.1218,0.0198
boi,2,0.1218,0.0198
prefer,2,0.1218,0.0198
everywhere,2,0.1218,0.0198
❤️❤️,2,0.1218,0.0198
soul,2,0.1218,0.0198
kenneth,2,0.1218,0.0198
mrstark,2,0.1218,0.0198
andrade,2,0.1218,0.0198
1,2,0.1218,0.0198
mae,2,0.1218,0.0198
such,2,0.1218,0.0198
guys,2,0.1218,0.0198
talk,2,0.1218,0.0198
tagged,2,0.1218,0.0198
brain,2,0.1218,0.0198
interesting,2,0.1218,0.0198
krishna,2,0.1218,0.0198
freya,2,0.1218,0.0198
tera,2,0.1218,0.0198
eh,2,0.1218,0.0198
ek,2,0.1218,0.0198
year,2,0.1218,0.0198
mess,2,0.1218,0.0198
stupid,2,0.1218,0.0198
care,2,0.1218,0.0198
💖,2,0.1218,0.0198
introverts,2,0.1218,0.0198
stevens,2,0.1218,0.0198
yourself,2,0.1218,0.0198
lembro,2,0.1218,0.0198
sean,2,0.1218,0.0198
balisi,2,0.1218,0.0198
anh,2,0.1218,0.0198
allen,2,0.1218,0.0198
saw,2,0.1218,0.0198
kevin,2,0.1218,0.0198
gonzález,2,0.1218,0.0198
wanting,2,0.1218,0.0198
paid,2,0.1218,0.0198
connor,2,0.1218,0.0198
😭❤,2,0.1218,0.0198
forever,2,0.1218,0.0198
proud,2,0.1218,0.0198
😍😍😍😍😍😍😍,2,0.1218,0.0198
nadia,2,0.1218,0.0198
chú,2,0.1218,0.0198
cannon,2,0.1218,0.0198
samuel,2,0.1218,0.0198
bruna,2,0.1218,0.0198
isabel,2,0.1218,0.0198
erica,2,0.1218,0.0198
certeza,2,0.1218,0.0198
enough,2,0.1218,0.0198
come,2,0.1218,0.0198
expression,2,0.1218,0.0198
comes,2,0.1218,0.0198
nicole,2,0.1218,0.0198
awsome,2,0.1218,0.0198
qué,2,0.1218,0.0198
andrew,2,0.1218,0.0198
isabella,2,0.1218,0.0198
joke,2,0.1218,0.0198
ilaria,2,0.1218,0.0198
ironic,2,0.1218,0.0198
😜,2,0.1218,0.0198
singh,2,0.1218,0.0198
pal,2,0.1218,0.0198
safe,2,0.1218,0.0198
without,2,0.1218,0.0198
protege,2,0.1218,0.0198
likha,2,0.1218,0.0198
lets,2,0.1218,0.0198
4,2,0.1218,0.0198
read,2,0.1218,0.0198
cooper,2,0.1218,0.0198
making,2,0.1218,0.0198
biological,2,0.1218,0.0198
regina,2,0.1218,0.0198
tomholland,2,0.1218,0.0198
throwback,2,0.1218,0.0198
comparison,2,0.1218,0.0198
blessed,2,0.1218,0.0198
❤❤❤,2,0.1218,0.0198
😍😍😍😍😍😍😍😍😍😍,2,0.1218,0.0198
fraud,2,0.1218,0.0198
fils,2,0.1218,0.0198
ai,2,0.1218,0.0198
important,2,0.1218,0.0198
chris,2,0.1218,0.0198
chinese,2,0.1218,0.0198
woooow,2,0.1218,0.0198
😂❤️,2,0.1218,0.0198
danielle,2,0.1218,0.0198
condition,2,0.1218,0.0198
vu,2,0.1218,0.0198
lisa,2,0.1218,0.0198
past,2,0.1218,0.0198
zero,2,0.1218,0.0198
abe,2,0.1218,0.0198
sun,2,0.1218,0.0198
version,2,0.1218,0.0198
irah,2,0.1218,0.0198
experience,2,0.1218,0.0198
pics,2,0.1218,0.0198
🤣,2,0.1218,0.0198
peter’s,2,0.1218,0.0198
gosh,2,0.1218,0.0198
🙄,2,0.1218,0.0198
ve,2,0.1218,0.0198
6,2,0.1218,0.0198
teen,2,0.1218,0.0198
male,2,0.1218,0.0198
mendes,2,0.1218,0.0198
fa,2,0.1218,0.0198
garcía,2,0.1218,0.0198
sooo,2,0.1218,0.0198
somebody,2,0.1218,0.0198
humans,2,0.1218,0.0198
yu,2,0.1218,0.0198
england,2,0.1218,0.0198
another,2,0.1218,0.0198
calarde,2,0.1218,0.0198
ashley,2,0.1218,0.0198
tirreferi,2,0.1218,0.0198
mmm,2,0.1218,0.0198
ask,2,0.1218,0.0198
toi,2,0.1218,0.0198
😛,2,0.1218,0.0198
😘,2,0.1218,0.0198
😏,2,0.1218,0.0198
😁,2,0.1218,0.0198
gotten,2,0.1218,0.0198
garfield,2,0.1218,0.0198
wilson,2,0.1218,0.0198
😝,2,0.1218,0.0198
lim,2,0.1218,0.0198
minha,2,0.1218,0.0198
jordan,2,0.1218,0.0198
pretty,2,0.1218,0.0198
fer,2,0.1218,0.0198
sila,2,0.1218,0.0198
javoue,2,0.1218,0.0198
😲,2,0.1218,0.0198
hype,2,0.1218,0.0198
solo,2,0.1218,0.0198
ressemblance,2,0.1218,0.0198
parecen,2,0.1218,0.0198
c,2,0.1218,0.0198
last,2,0.1218,0.0198
les,2,0.1218,0.0198
sweet,2,0.1218,0.0198
coincidence,2,0.1218,0.0198
pa,2,0.1218,0.0198
tomlinson,2,0.1218,0.0198
whoa,2,0.1218,0.0198
understand,2,0.1218,0.0198
fun,2,0.1218,0.0198
vos,2,0.1218,0.0198
gone,2,0.1218,0.0198
shirt,2,0.1218,0.0198
ama,2,0.1218,0.0198
kill,2,0.1218,0.0198
older,2,0.1218,0.0198
stephanie,2,0.1218,0.0198
guapos,2,0.1218,0.0198
big,2,0.1218,0.0198
alexandre,2,0.1218,0.0198
goddamn,2,0.1218,0.0198
araña,2,0.1218,0.0198
t,2,0.1218,0.0198
run,2,0.1218,0.0198
visit,2,0.1218,0.0198
amores,2,0.1218,0.0198
tú,2,0.1218,0.0198
suit,2,0.1218,0.0198
familia,2,0.1218,0.0198
junior,2,0.1218,0.0198
♡,2,0.1218,0.0198
uh,2,0.1218,0.0198
actors,2,0.1218,0.0198
papa,2,0.1218,0.0198
có,2,0.1218,0.0198
fisher,2,0.1218,0.0198
drinking,2,0.1218,0.0198
michael,2,0.1218,0.0198
ryan,2,0.1218,0.0198
claudia,2,0.1218,0.0198
cap,2,0.1218,0.0198
está,2,0.1218,0.0198
video,2,0.1218,0.0198
rivera,2,0.1218,0.0198
body,2,0.1218,0.0198
sur,2,0.1218,0.0198
xoxo,2,0.1218,0.0198
others,2,0.1218,0.0198
giống,2,0.1218,0.0198
larissa,2,0.1218,0.0198
gene,2,0.1218,0.0198
makes,2,0.1218,0.0198
daaaaamn,2,0.1218,0.0198
clark,2,0.1218,0.0198
kristine,2,0.1218,0.0198
use,2,0.1218,0.0198
♥️,2,0.1218,0.0198
few,2,0.1218,0.0198
rare,2,0.1218,0.0198
f,2,0.1218,0.0198
voyant,2,0.1218,0.0198
profile,2,0.1218,0.0198
act,2,0.1218,0.0198
hahahaha,2,0.1218,0.0198
martins,2,0.1218,0.0198
isso,2,0.1218,0.0198
martina,2,0.1218,0.0198
youd,2,0.1218,0.0198
spell,2,0.1218,0.0198
jajajajaja,2,0.1218,0.0198
hollands,2,0.1218,0.0198
our,2,0.1218,0.0198
special,2,0.1218,0.0198
attending,2,0.1218,0.0198
her,2,0.1218,0.0198
austin,2,0.1218,0.0198
justine,2,0.1218,0.0198
hehe,2,0.1218,0.0198
sharon,2,0.1218,0.0198
fair,2,0.1218,0.0198
italia,2,0.1218,0.0198
alexa,2,0.1218,0.0198
screw,2,0.1218,0.0198
cuore,2,0.1218,0.0198
luisa,2,0.1218,0.0198
mis,2,0.1218,0.0198
aww,2,0.1218,0.0198
trouve,2,0.1218,0.0198
primero,2,0.1218,0.0198
ressemble,2,0.1218,0.0198
jekk,2,0.1218,0.0198
beat,2,0.1218,0.0198
words,2,0.1218,0.0198
course,2,0.1218,0.0198
she,2,0.1218,0.0198
btw,2,0.1218,0.0198
j,2,0.1218,0.0198
cristiano,2,0.1218,0.0198
tiene,2,0.1218,0.0198
sara,2,0.1218,0.0198
define,2,0.1218,0.0198
meus,2,0.1218,0.0198
happened,2,0.1218,0.0198
let,2,0.1218,0.0198
paula,2,0.1218,0.0198
student,2,0.1218,0.0198
off,2,0.1218,0.0198
approve,2,0.1218,0.0198
sofia,2,0.1218,0.0198
😍🤤,2,0.1218,0.0198
cruz,2,0.1218,0.0198
facial,2,0.1218,0.0198
qed,2,0.1218,0.0198
alive,2,0.1218,0.0198
más,2,0.1218,0.0198
actual,2,0.1218,0.0198
shipping,2,0.1218,0.0198
who’s,2,0.1218,0.0198
