token,count,frequencyPer100Comment,frequencyPer100Token
weak,4,0.2341,0.0141
brown,4,0.2341,0.0141
ill,4,0.2341,0.0141
libyan,4,0.2341,0.0141
trust,4,0.2341,0.0141
employees,4,0.2341,0.0141
mexico,4,0.2341,0.0141
iq,4,0.2341,0.0141
id,4,0.2341,0.0141
hang,4,0.2341,0.0141
hand,4,0.2341,0.0141
yep,4,0.2341,0.0141
rumor,4,0.2341,0.0141
night,4,0.2341,0.0141
security,4,0.2341,0.0141
“consequences”,4,0.2341,0.0141
dollars,4,0.2341,0.0141
nixon,4,0.2341,0.0141
lied,4,0.2341,0.0141
absolutely,4,0.2341,0.0141
happy,4,0.2341,0.0141
melanin,4,0.2341,0.0141
born,4,0.2341,0.0141
promises,4,0.2341,0.0141
promised,4,0.2341,0.0141
liberalism,4,0.2341,0.0141
reality,4,0.2341,0.0141
surprise,4,0.2341,0.0141
died,4,0.2341,0.0141
billion,4,0.2341,0.0141
diplomacy,4,0.2341,0.0141
global,4,0.2341,0.0141
charge,4,0.2341,0.0141
division,4,0.2341,0.0141
pompeo,4,0.2341,0.0141
anonymous,4,0.2341,0.0141
locked,4,0.2341,0.0141
die,4,0.2341,0.0141
prevent,4,0.2341,0.0141
constitution,4,0.2341,0.0141
market,4,0.2341,0.0141
crazy,4,0.2341,0.0141
millionaires,4,0.2341,0.0141
heard,4,0.2341,0.0141
means,4,0.2341,0.0141
economy,4,0.2341,0.0141
information,4,0.2341,0.0141
kalaallit,4,0.2341,0.0141
grow,4,0.2341,0.0141
policy,4,0.2341,0.0141
happened,4,0.2341,0.0141
non,4,0.2341,0.0141
answer,4,0.2341,0.0141
childish,4,0.2341,0.0141
correct,4,0.2341,0.0141
unnamed,4,0.2341,0.0141
honest,4,0.2341,0.0141
1000,4,0.2341,0.0141
xi,4,0.2341,0.0141
silent,4,0.2341,0.0141
trillion,4,0.2341,0.0141
16,4,0.2341,0.0141
diplomatic,4,0.2341,0.0141
wing,4,0.2341,0.0141
nuclear,4,0.2341,0.0141
manipulator”,4,0.2341,0.0141
reading,4,0.2341,0.0141
infrastructure,4,0.2341,0.0141
comes,4,0.2341,0.0141
save,4,0.2341,0.0141
cares,4,0.2341,0.0141
cast,4,0.2341,0.0141
eventually,4,0.2341,0.0141
speech,4,0.2341,0.0141
death,4,0.2341,0.0141
role,4,0.2341,0.0141
benefit,4,0.2341,0.0141
nazi,4,0.2341,0.0141
cursed,4,0.2341,0.0141
technologies,4,0.2341,0.0141
hire,4,0.2341,0.0141
event,4,0.2341,0.0141
congress,4,0.2341,0.0141
adam,4,0.2341,0.0141
follow,4,0.2341,0.0141
