token,count,frequencyPer100Comment,frequencyPer100Token
boring,8,0.3339,0.0180
respect,8,0.3339,0.0180
alisani,8,0.3339,0.0180
until,7,0.2922,0.0158
asked,7,0.2922,0.0158
cunt,7,0.2922,0.0158
o,7,0.2922,0.0158
aich,7,0.2922,0.0158
kanye,7,0.2922,0.0158
troll,7,0.2922,0.0158
knew,7,0.2922,0.0158
evolved,7,0.2922,0.0158
self,7,0.2922,0.0158
baby,7,0.2922,0.0158
realize,7,0.2922,0.0158
bring,7,0.2922,0.0158
drug,7,0.2922,0.0158
paulo,7,0.2922,0.0158
delivery,7,0.2922,0.0158
meets,7,0.2922,0.0158
evil,7,0.2922,0.0158
bitching,7,0.2922,0.0158
comes,7,0.2922,0.0158
cares,7,0.2922,0.0158
early,7,0.2922,0.0158
sales,7,0.2922,0.0158
ask,7,0.2922,0.0158
feels,7,0.2922,0.0158
alexander,7,0.2922,0.0158
seeing,7,0.2922,0.0158
telling,7,0.2922,0.0158
drops,7,0.2922,0.0158
austin,7,0.2922,0.0158
anyway,7,0.2922,0.0158
hits,7,0.2922,0.0158
admit,7,0.2922,0.0158
shes,7,0.2922,0.0158
piece,7,0.2922,0.0158
15,7,0.2922,0.0158
near,7,0.2922,0.0158
kid,7,0.2922,0.0158
jones,7,0.2922,0.0158
rock,7,0.2922,0.0158
label,7,0.2922,0.0158
mark,7,0.2922,0.0158
pay,7,0.2922,0.0158
audience,7,0.2922,0.0158
deep,7,0.2922,0.0158
they’re,7,0.2922,0.0158
difference,7,0.2922,0.0158
complain,7,0.2922,0.0158
idea,7,0.2922,0.0158
b,7,0.2922,0.0158
excited,7,0.2922,0.0158
entire,7,0.2922,0.0158
joel,7,0.2922,0.0158
apparently,7,0.2922,0.0158
legit,7,0.2922,0.0158
smart,7,0.2922,0.0158
shankhadeep,7,0.2922,0.0158
speak,7,0.2922,0.0158
mc,7,0.2922,0.0158
xzibit,7,0.2922,0.0158
each,7,0.2922,0.0158
plus,7,0.2922,0.0158
check,7,0.2922,0.0158
picture,7,0.2922,0.0158
reply,7,0.2922,0.0158
gives,7,0.2922,0.0158
multiple,7,0.2922,0.0158
written,7,0.2922,0.0158
rhymes,7,0.2922,0.0158
lmfao,7,0.2922,0.0158
follow,7,0.2922,0.0158
pragnell,7,0.2922,0.0158
didn’t,7,0.2922,0.0158
stfu,7,0.2922,0.0158
due,7,0.2922,0.0158
itll,7,0.2922,0.0158
atleast,7,0.2922,0.0158
growth,7,0.2922,0.0158
bitches,7,0.2922,0.0158
faggot,7,0.2922,0.0158
hoping,6,0.2504,0.0135
hold,6,0.2504,0.0135
continue,6,0.2504,0.0135
exist,6,0.2504,0.0135
current,6,0.2504,0.0135
alone,6,0.2504,0.0135
working,6,0.2504,0.0135
speedom,6,0.2504,0.0135
quite,6,0.2504,0.0135
open,6,0.2504,0.0135
ridiculous,6,0.2504,0.0135
act,6,0.2504,0.0135
gone,6,0.2504,0.0135
case,6,0.2504,0.0135
pick,6,0.2504,0.0135
accept,6,0.2504,0.0135
sense,6,0.2504,0.0135
david,6,0.2504,0.0135
cunts,6,0.2504,0.0135
fuckers,6,0.2504,0.0135
become,6,0.2504,0.0135
morris,6,0.2504,0.0135
problem,6,0.2504,0.0135
compared,6,0.2504,0.0135
told,6,0.2504,0.0135
daughter,6,0.2504,0.0135
negative,6,0.2504,0.0135
davies,6,0.2504,0.0135
ʸᵒᵘ,6,0.2504,0.0135
standard,6,0.2504,0.0135
likely,6,0.2504,0.0135
john,6,0.2504,0.0135
musical,6,0.2504,0.0135
born,6,0.2504,0.0135
brain,6,0.2504,0.0135
eh,6,0.2504,0.0135
sheep,6,0.2504,0.0135
pnk,6,0.2504,0.0135
trice,6,0.2504,0.0135
instagram,6,0.2504,0.0135
expecting,6,0.2504,0.0135
behind,6,0.2504,0.0135
jordan,6,0.2504,0.0135
