token,count,frequencyPer100Comment,frequencyPer100Token
dick,29,0.2245,0.0230
needs,29,0.2245,0.0230
head,29,0.2245,0.0230
lets,29,0.2245,0.0230
holland,29,0.2245,0.0230
respect,29,0.2245,0.0230
wtf,28,0.2168,0.0222
favorite,28,0.2168,0.0222
brazil,28,0.2168,0.0222
away,28,0.2168,0.0222
america,28,0.2168,0.0222
minha,28,0.2168,0.0222
close,28,0.2168,0.0222
human,28,0.2168,0.0222
4,28,0.2168,0.0222
spell,28,0.2168,0.0222
free,28,0.2168,0.0222
drugs,28,0.2168,0.0222
beyonce,28,0.2168,0.0222
called,28,0.2168,0.0222
use,28,0.2168,0.0222
thankful,27,0.2090,0.0214
carolina,27,0.2090,0.0214
ago,27,0.2090,0.0214
chance,27,0.2090,0.0214
l,27,0.2090,0.0214
ems,27,0.2090,0.0214
eres,27,0.2090,0.0214
half,27,0.2090,0.0214
ask,27,0.2090,0.0214
used,27,0.2090,0.0214
pero,27,0.2090,0.0214
power,27,0.2090,0.0214
jessica,27,0.2090,0.0214
40,27,0.2090,0.0214
king,27,0.2090,0.0214
wanna,27,0.2090,0.0214
meeting,27,0.2090,0.0214
country,26,0.2013,0.0206
saw,26,0.2013,0.0206
accept,26,0.2013,0.0206
😘,26,0.2013,0.0206
facebook,26,0.2013,0.0206
bet,26,0.2013,0.0206
siempre,26,0.2013,0.0206
killing,26,0.2013,0.0206
sound,26,0.2013,0.0206
single,26,0.2013,0.0206
❤❤❤❤❤,26,0.2013,0.0206
wanted,26,0.2013,0.0206
kids,25,0.1936,0.0198
suck,25,0.1936,0.0198
learn,25,0.1936,0.0198
number,25,0.1936,0.0198
sell,25,0.1936,0.0198
seu,25,0.1936,0.0198
vc,25,0.1936,0.0198
car,25,0.1936,0.0198
end,25,0.1936,0.0198
vida,25,0.1936,0.0198
home,25,0.1936,0.0198
word,25,0.1936,0.0198
10,25,0.1936,0.0198
sexy,25,0.1936,0.0198
rapping,25,0.1936,0.0198
deluxe,25,0.1936,0.0198
video,25,0.1936,0.0198
50,25,0.1936,0.0198
picture,25,0.1936,0.0198
rely,25,0.1936,0.0198
follow,25,0.1936,0.0198
tan,25,0.1936,0.0198
message,24,0.1858,0.0190
miranda,24,0.1858,0.0190
open,24,0.1858,0.0190
sam,24,0.1858,0.0190
knew,24,0.1858,0.0190
rest,24,0.1858,0.0190
😉,24,0.1858,0.0190
can’t,24,0.1858,0.0190
marido,24,0.1858,0.0190
il,24,0.1858,0.0190
kid,24,0.1858,0.0190
super,24,0.1858,0.0190
sounds,24,0.1858,0.0190
pai,24,0.1858,0.0190
important,24,0.1858,0.0190
esse,24,0.1858,0.0190
keys,24,0.1858,0.0190
hair,24,0.1858,0.0190
ele,24,0.1858,0.0190
place,24,0.1858,0.0190
spiderman,24,0.1858,0.0190
sold,24,0.1858,0.0190
hello,23,0.1781,0.0183
babe,23,0.1781,0.0183
means,23,0.1781,0.0183
