token,count,frequencyPer100Comment,frequencyPer100Token
continue,5,0.5447,0.0272
shall,5,0.5447,0.0272
nigga,5,0.5447,0.0272
next,5,0.5447,0.0272
helping,5,0.5447,0.0272
send,5,0.5447,0.0272
carter,5,0.5447,0.0272
usa,5,0.5447,0.0272
upcoming,5,0.5447,0.0272
intelligent,5,0.5447,0.0272
sit,5,0.5447,0.0272
wwwfacebookcomyzykrst,5,0.5447,0.0272
truth,5,0.5447,0.0272
times,5,0.5447,0.0272
httpsyoutubeukrqqgbcd3i,5,0.5447,0.0272
grow,5,0.5447,0.0272
riches,5,0.5447,0.0272
able,5,0.5447,0.0272
son,5,0.5447,0.0272
means,5,0.5447,0.0272
married,5,0.5447,0.0272
state,5,0.5447,0.0272
shes,5,0.5447,0.0272
lifestyle,5,0.5447,0.0272
that’s,5,0.5447,0.0272
artists,5,0.5447,0.0272
hi,5,0.5447,0.0272
record,5,0.5447,0.0272
–,5,0.5447,0.0272
sorry,4,0.4357,0.0218
affect,4,0.4357,0.0218
achieve,4,0.4357,0.0218
negative,4,0.4357,0.0218
amazing,4,0.4357,0.0218
minority,4,0.4357,0.0218
appreciate,4,0.4357,0.0218
terrell,4,0.4357,0.0218
went,4,0.4357,0.0218
lifted,4,0.4357,0.0218
moving,4,0.4357,0.0218
fuckin,4,0.4357,0.0218
kyle,4,0.4357,0.0218
definitely,4,0.4357,0.0218
folks,4,0.4357,0.0218
bad,4,0.4357,0.0218
boss,4,0.4357,0.0218
child,4,0.4357,0.0218
financially,4,0.4357,0.0218
yet,4,0.4357,0.0218
whatsapp,4,0.4357,0.0218
deal,4,0.4357,0.0218
asking,4,0.4357,0.0218
citizens,4,0.4357,0.0218
war,4,0.4357,0.0218
exist,4,0.4357,0.0218
picture,4,0.4357,0.0218
aware,4,0.4357,0.0218
younger,4,0.4357,0.0218
round,4,0.4357,0.0218
goes,4,0.4357,0.0218
shared,4,0.4357,0.0218
newcompasses,4,0.4357,0.0218
chelle,4,0.4357,0.0218
mirfromdalandz,4,0.4357,0.0218
httpssoundcloudcommarkbollingnewcompassesbyloproduced,4,0.4357,0.0218
1,4,0.4357,0.0218
such,4,0.4357,0.0218
jigga,4,0.4357,0.0218
name,4,0.4357,0.0218
yeah,4,0.4357,0.0218
challenges,4,0.4357,0.0218
amaizing,4,0.4357,0.0218
care,4,0.4357,0.0218
honest,4,0.4357,0.0218
place,4,0.4357,0.0218
americans,4,0.4357,0.0218
little,4,0.4357,0.0218
eyes,4,0.4357,0.0218
releases,4,0.4357,0.0218
online,4,0.4357,0.0218
especially,4,0.4357,0.0218
devvon,4,0.4357,0.0218
dick,4,0.4357,0.0218
stupid,4,0.4357,0.0218
between,4,0.4357,0.0218
west,4,0.4357,0.0218
those,4,0.4357,0.0218
ive,4,0.4357,0.0218
mentally,4,0.4357,0.0218
gonna,4,0.4357,0.0218
violence,4,0.4357,0.0218
youve,4,0.4357,0.0218
videoshareyoutube,4,0.4357,0.0218
original,4,0.4357,0.0218
children,4,0.4357,0.0218
far,4,0.4357,0.0218
emotions,4,0.4357,0.0218
movement,4,0.4357,0.0218
full,4,0.4357,0.0218
suicide,4,0.4357,0.0218
social,4,0.4357,0.0218
followed,4,0.4357,0.0218
vip,4,0.4357,0.0218
knows,4,0.4357,0.0218
beautiful,4,0.4357,0.0218
goal,4,0.4357,0.0218
bout,4,0.4357,0.0218
communities,4,0.4357,0.0218
weight,4,0.4357,0.0218
generation,4,0.4357,0.0218
oppressed,4,0.4357,0.0218
expecting,4,0.4357,0.0218
b,4,0.4357,0.0218
beyoncé,4,0.4357,0.0218
315,4,0.4357,0.0218
314,4,0.4357,0.0218
individual,4,0.4357,0.0218
close,4,0.4357,0.0218
movie,4,0.4357,0.0218
444,4,0.4357,0.0218
treatment,4,0.4357,0.0218
boy,4,0.4357,0.0218
races,4,0.4357,0.0218
ready,4,0.4357,0.0218
funny,4,0.4357,0.0218
